,City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
0,avarua,14,CK,1570027864,68,-21.21,-159.78,295.15,4.6
1,ponta do sol,18,BR,1570027546,32,-20.63,-46.0,304.983,0.73
2,north bend,1,US,1570027654,93,43.41,-124.22,280.93,2.6
3,mogadishu,0,SO,1570027201,78,2.04,45.34,299.083,6.62
4,mataura,100,NZ,1570027869,82,-46.19,168.86,279.26,1.34
5,lebu,20,ET,1570027391,60,8.96,38.73,293.15,5.1
6,albany,90,US,1570027730,83,42.65,-73.75,296.48,1.7
7,kavieng,46,PG,1570027933,77,-2.57,150.8,300.583,2.78
8,ushuaia,40,AR,1570027869,70,-54.81,-68.31,282.15,12.9
9,saldanha,74,PT,1570027393,30,41.42,-6.55,295.483,2.21
10,tarbagatay,100,RU,1570027936,64,51.48,107.36,275.15,1.0
11,new norfolk,4,AU,1570027936,81,-42.78,147.06,284.26,2.6
12,rikitea,100,PF,1570027938,80,-23.12,-134.97,291.183,6.58
13,souillac,90,FR,1570027410,68,45.6,-0.6,291.48,3.1
14,longyearbyen,75,NO,1570027940,88,78.22,15.63,273.15,2.1
15,saint-philippe,90,CA,1570027506,81,45.36,-73.48,285.15,3.1
16,hermanus,100,ZA,1570027942,85,-34.42,19.24,291.48,2.68
17,butaritari,80,KI,1570027943,65,3.07,172.79,302.383,2.95
18,qaanaaq,90,GL,1570027944,83,77.48,-69.36,270.583,1.23
19,saskylakh,43,RU,1570027365,91,71.97,114.09,264.783,1.61
20,coihaique,40,CL,1570027811,60,-45.58,-72.07,281.15,1.5
21,moerai,0,PF,1570027947,67,-22.43,-151.33,293.983,6.04
22,bluff,0,AU,1570027385,89,-23.58,149.07,288.583,5.02
23,kapaa,75,US,1570027357,78,22.08,-159.32,300.15,7.7
24,eyl,20,SO,1570027950,72,7.98,49.82,298.383,6.0
25,razdolnoye,0,RU,1570027951,56,43.7,44.53,293.15,4.0
26,port augusta,0,AU,1570027644,93,-32.49,137.76,288.15,4.1
27,arraial do cabo,0,BR,1570027952,51,-22.97,-42.02,300.15,4.1
28,cururupu,99,BR,1570027953,67,-1.82,-44.87,301.383,2.97
